================================================================================
📊 GYROSTARS - TOZALANGAN VA HAQIQIY BALANSLAR HISOBOTI
🕒 Sana va vaqt: 2026-08-21 18:44:29
👥 Jami foydalanuvchilar: 308 ta
💰 Balansga ega foydalanuvchilar: 1 ta
💳 Jami foydalanuvchilar balansi: 32 000 so'm
================================================================================

--- 🌟 BALANSGA EGA FOYDALANUVCHILAR ---
№     | Telegram ID      | Balans                 | Izoh                          
--------------------------------------------------------------------------------
1     | 8856364002       | 32 000 so'm            | 202k - 170k (Premium olingan) 

--- ⚪ 0 SO'M BALANSLI FOYDALANUVCHILAR ---
№     | Telegram ID      | Balans                 | Holat               
--------------------------------------------------------------------------------
138   | 6840118432       | 0 so'm                 | Tozalangan          
139   | 6846894159       | 0 so'm                 | Tozalangan          
140   | 6847017656       | 0 so'm                 | Tozalangan          
141   | 6848990772       | 0 so'm                 | Tozalangan          
142   | 6851978332       | 0 so'm                 | Tozalangan          
143   | 6855629833       | 0 so'm                 | Tozalangan          
144   | 6863033507       | 0 so'm                 | Tozalangan          
145   | 6868713029       | 0 so'm                 | Tozalangan          
146   | 6880196267       | 0 so'm                 | Tozalangan          
147   | 6890893186       | 0 so'm                 | Tozalangan          
148   | 6892572798       | 0 so'm                 | Tozalangan          
149   | 6912228471       | 0 so'm                 | Tozalangan          
150   | 6913309198       | 0 so'm                 | Tozalangan          
151   | 6919826076       | 0 so'm                 | Tozalangan          
152   | 6941621571       | 0 so'm                 | Tozalangan          
153   | 6942163575       | 0 so'm                 | Tozalangan          
154   | 6955877587       | 0 so'm                 | Tozalangan          
155   | 6956226759       | 0 so'm                 | Tozalangan          
156   | 6967051358       | 0 so'm                 | Tozalangan          
157   | 6972232777       | 0 so'm                 | Tozalangan          
158   | 6973870343       | 0 so'm                 | Tozalangan          
159   | 6983466516       | 0 so'm                 | Tozalangan          
160   | 6986798666       | 0 so'm                 | Tozalangan          
161   | 6991221021       | 0 so'm                 | Tozalangan          
162   | 7002956220       | 0 so'm                 | Tozalangan          
163   | 7016025304       | 0 so'm                 | Tozalangan          
164   | 7017829459       | 0 so'm                 | Tozalangan          
165   | 7023576873       | 0 so'm                 | Tozalangan          
166   | 7035165328       | 0 so'm                 | Tozalangan          
167   | 7036253718       | 0 so'm                 | Tozalangan          
168   | 7066319019       | 0 so'm                 | Tozalangan          
